trust_exp,runoff_bolsonaro,runoff_haddad,vote_haddad,vote_bolsonaro,runoff_nulo,ideo_place_self,positive_partisanship,negative_partisanship,covid_job,covid_health,covid_government,treat_neutral_bolsonaro,treat_neutral_haddad,treat_negative_bolsonaro,treat_negative_haddad,treat_reaction,treat_emotions,control_neutral_bolsonaro,control_neutral_haddad,control_negative_bolsonaro,control_negative_haddad,income,age,gender,work,education,treat_negative,treatment_haddad,treatment_bolsonaro,negative_bolsonaro,neutral_bolsonaro,negative_haddad,neutral_haddad,anti,petistas,nonpartisans
treatment,Off,On,Off,Off,Off,10,Nenhum,Partido Social Liberal (PSL),Very unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,"“Retuitar""",Enojado,0,0,0,0,6,Entre 36 e 45,Man,Unemployed,Primário Completo,0,1,0,0,0,0,1,0,0,1
treatment,On,Off,Off,On,Off,8,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Somewhat Appropriate,0,0,0,1,“Curtir”,Otimista,0,0,0,0,9,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,1,0,0
treatment,Off,On,Off,Off,Off,10,Partido dos Trabalhadores (PT),Partido dos Trabalhadores (PT),Very Likely,Very Likely,Very Appropriate,0,0,1,0,“Responder/Reply”,Contente,0,0,0,0,10,Entre 36 e 45,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,1,0
treatment,Off,On,Off,Off,Off,4,Nenhum,Todos igualmente,Very Likely,Very Likely,Somewhat Unappropriate,0,0,0,1,“Curtir”,Preocupado,0,0,0,0,4,Entre 26 e 35,Feminino,Employed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,0,1
treatment,On,Off,Off,On,Off,6,Prefiro Não Responder,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Somewhat Appropriate,1,0,0,0,“Curtir”,Preocupado,0,0,0,0,3,Entre 26 e 35,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,1,0,0
treatment,Off,Off,Off,Off,On,5,Nenhum,Partido da Social Democracia (PSDB),Somewhat Likely,Somewhat unlikely,Somewhat Appropriate,0,1,0,0,“Curtir”,Preocupado,0,0,0,0,4,Entre 26 e 35,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
treatment,Off,Off,Off,Off,On,6,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Very Appropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,6,Mais do que 65,Man,Employed,Ensino Superior Incompleto,1,1,0,0,0,1,0,1,0,0
treatment,Off,Off,Off,Off,On,5,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat Likely,Very Appropriate,1,0,0,0,“Curtir”,Otimista,0,0,0,0,4,Entre 56 e 65,Man,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,1,0,0
control,On,Off,Off,Off,Off,-999,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,“Responder/Reply”,Preocupado,0,1,0,0,4,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,1,0,0
control,On,Off,Off,On,Off,5,Partido Social Liberal (PSL),Partido dos Trabalhadores (PT),Very Likely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,“Curtir”,"Otimista,Preocupado",0,0,1,0,3,Entre 26 e 35,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,0
treatment,Off,Off,Off,Off,On,4,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat Likely,Somewhat Unappropriate,1,0,0,0,"""Ignorar”",Preocupado,0,0,0,0,5,Entre 56 e 65,NA,Unemployed,Ensino Superior Completo,0,0,1,0,1,0,0,1,0,0
treatment,On,Off,Off,On,Off,10,Nenhum,Todos igualmente,Very unlikely,Somewhat unlikely,Very Appropriate,0,0,0,1,"""Ignorar”",Irritado,0,0,0,0,2,Mais do que 65,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,On,Off,Off,On,Off,2,Nenhum,Partido da Social Democracia (PSDB),Somewhat Likely,Somewhat unlikely,Somewhat Appropriate,0,0,1,0,“Curtir”,Otimista,0,0,0,0,2,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
treatment,On,Off,Off,On,Off,-999,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Not Appropriate,1,0,0,0,"""Ignorar”",Estressado,0,0,0,0,4,Entre 26 e 35,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,1,0,0
treatment,Off,On,On,Off,Off,0,Partido Trabalhista Brasileiro (PTB),Movimento Democrático Brasileiro (MDB),Somewhat Likely,Very Likely,Not Appropriate,0,0,1,0,"""Ignorar”","Irritado,Enojado,Preocupado",0,0,0,0,4,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
treatment,Off,Off,Off,Off,On,7,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,“Curtir”,Preocupado,0,0,0,0,1,Entre 36 e 45,Feminino,Unemployed,Sem instrução,0,1,0,0,0,0,1,0,0,1
treatment,Off,Off,Off,Off,On,1,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Not Appropriate,0,1,0,0,"""Ignorar”",Indiferente,0,0,0,0,5,Entre 56 e 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,0,1,0,0,0,0,1,1,0,0
treatment,Off,On,Off,Off,Off,9,Partido dos Trabalhadores (PT),Democratas (DEM),Very Likely,Somewhat Likely,Very Appropriate,0,0,0,1,“Responder/Reply”,"Irritado,Enojado,Otimista,Preocupado",0,0,0,0,1,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,1,0
treatment,Off,On,On,Off,Off,1,Partido dos Trabalhadores (PT),Democratas (DEM),Very Likely,Somewhat Likely,Not Appropriate,1,0,0,0,“Curtir”,Enojado,0,0,0,0,1,Entre 56 e 65,Man,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,1,0
treatment,Off,Off,Off,Off,On,0,Não Sei,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Somewhat Appropriate,1,0,0,0,"""Ignorar”",Preocupado,0,0,0,0,7,Entre 36 e 45,Feminino,Unemployed,Pós-graduação,0,0,1,0,1,0,0,0,0,0
control,Off,On,On,Off,Off,3,Partido dos Trabalhadores (PT),Todos igualmente,Somewhat Likely,Somewhat Likely,Not Appropriate,0,0,0,0,“Responder/Reply”,Triste,0,0,0,1,2,Entre 56 e 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,1,0,0,0,1,0,0,1,0
treatment,On,Off,Off,On,Off,10,Nenhum,Partido dos Trabalhadores (PT),Very Likely,Somewhat Likely,Very Appropriate,1,0,0,0,"""Ignorar”",Indiferente,0,0,0,0,8,Entre 36 e 45,Man,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,1,0,0
treatment,On,Off,Off,On,Off,10,Nenhum,Partido da Social Democracia (PSDB),Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,1,0,"""Ignorar”",Triste,0,0,0,0,8,Entre 56 e 65,Feminino,NA,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
treatment,On,Off,Off,On,Off,9,Partido Trabalhista Brasileiro (PTB),Partido Social Democrático (PSD),Somewhat unlikely,Somewhat unlikely,Very Appropriate,0,1,0,0,“Curtir”,Otimista,0,0,0,0,1,Entre 36 e 45,Feminino,Unemployed,Primário Completo,0,1,0,0,0,0,1,0,0,1
control,Off,Off,Off,Off,On,6,Nenhum,Não sei,Somewhat unlikely,Somewhat unlikely,Somewhat Appropriate,0,0,0,0,"""Ignorar”",Indiferente,0,1,0,0,5,Entre 26 e 35,Feminino,Employed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,0,1
treatment,Off,Off,Off,Off,On,5,Partido dos Trabalhadores (PT),Todos igualmente,Very Likely,Somewhat unlikely,Somewhat Appropriate,0,1,0,0,“Responder/Reply”,Preocupado,0,0,0,0,5,Entre 46 e 55,Feminino,Unemployed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,1,0
treatment,Off,Off,Off,Off,On,8,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,1,0,“Curtir”,Preocupado,0,0,0,0,1,Entre 56 e 65,Feminino,Unemployed,Primário Completo,1,0,1,1,0,0,0,0,0,1
control,Off,On,On,Off,Off,5,Partido Liberal (PL),Partido Social Democrático (PSD),Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,"“Retuitar""",Triste,0,1,0,0,8,Entre 56 e 65,Feminino,Employed,Ensino Superior Completo,0,1,0,0,0,0,1,0,0,1
control,Off,On,On,Off,Off,6,Não Sei,Partido dos Trabalhadores (PT),Very Likely,Very unlikely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Indiferente,0,0,1,0,7,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,0
treatment,On,Off,Off,On,Off,6,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Very Appropriate,0,1,0,0,"“Retuitar""",Preocupado,0,0,0,0,3,Entre 46 e 55,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,1,0,0
treatment,On,Off,Off,On,Off,8,Nenhum,Todos igualmente,Very Likely,Very unlikely,Not Appropriate,0,0,1,0,"""Ignorar”",Indiferente,0,0,0,0,6,Entre 26 e 35,Man,Employed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
treatment,Off,On,On,Off,Off,2,Partido dos Trabalhadores (PT),Partido Progressista (PP),Very unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,“Curtir”,"Irritado,Triste,Preocupado",0,0,0,0,6,Entre 46 e 55,Man,Employed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,1,0
control,Off,Off,Off,On,On,0,Nenhum,Partido dos Trabalhadores (PT),Very Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,"“Retuitar""",Preocupado,0,0,0,1,5,Entre 56 e 65,Man,Unemployed,Ensino Superior Incompleto,1,1,0,0,0,1,0,1,0,0
